#t x y z vx vy vz
0.26 -103.46 -71.55 -100.35 -5.36 196.42 119.17
0.26 -103.47 -71.36 -100.23 -5.23 196.50 119.29
0.26 -103.47 -71.16 -100.11 -5.10 196.59 119.41
0.27 -103.48 -70.96 -99.99 -4.98 196.68 119.54
0.27 -103.48 -70.77 -99.87 -4.85 196.77 119.66
0.27 -103.49 -70.57 -99.75 -4.72 196.85 119.79
0.27 -103.49 -70.37 -99.63 -4.59 196.94 119.91
0.27 -103.50 -70.17 -99.51 -4.46 197.03 120.03
0.27 -103.50 -69.98 -99.39 -4.33 197.11 120.16
0.27 -103.51 -69.78 -99.27 -4.21 197.20 120.28
0.27 -103.51 -69.58 -99.15 -4.08 197.29 120.41
0.27 -103.52 -69.39 -99.03 -3.95 197.38 120.53
0.27 -103.52 -69.19 -98.91 -3.82 197.46 120.66
0.28 -103.52 -68.99 -98.79 -3.68 197.55 120.78
0.28 -103.53 -68.79 -98.67 -3.55 197.64 120.91
0.28 -103.53 -68.60 -98.55 -3.42 197.72 121.03
0.28 -103.53 -68.40 -98.43 -3.29 197.81 121.16
0.28 -103.54 -68.20 -98.30 -3.16 197.90 121.29
0.28 -103.54 -68.00 -98.18 -3.03 197.99 121.41
0.28 -103.54 -67.80 -98.06 -2.89 198.07 121.54
0.28 -103.55 -67.61 -97.94 -2.76 198.16 121.67
0.28 -103.55 -67.41 -97.82 -2.63 198.25 121.79
0.28 -103.55 -67.21 -97.70 -2.49 198.33 121.92
0.29 -103.55 -67.01 -97.57 -2.36 198.42 122.05
0.29 -103.56 -66.81 -97.45 -2.23 198.51 122.17
0.29 -103.56 -66.61 -97.33 -2.09 198.59 122.30
0.29 -103.56 -66.42 -97.21 -1.96 198.68 122.43
0.29 -103.56 -66.22 -97.09 -1.82 198.77 122.56
0.29 -103.56 -66.02 -96.96 -1.69 198.85 122.68
0.29 -103.56 -65.82 -96.84 -1.55 198.94 122.81
0.29 -103.57 -65.62 -96.72 -1.41 199.03 122.94
0.29 -103.57 -65.42 -96.59 -1.28 199.11 123.07
0.29 -103.57 -65.22 -96.47 -1.14 199.20 123.20
0.30 -103.57 -65.02 -96.35 -1.00 199.29 123.32
0.30 -103.57 -64.82 -96.22 -0.86 199.37 123.45
0.30 -103.57 -64.62 -96.10 -0.73 199.46 123.58
0.30 -103.57 -64.42 -95.98 -0.59 199.55 123.71
0.30 -103.57 -64.22 -95.85 -0.45 199.63 123.84
0.30 -103.57 -64.03 -95.73 -0.31 199.72 123.97
0.30 -103.57 -63.83 -95.61 -0.17 199.80 124.10
0.30 -103.57 -63.63 -95.48 -0.03 199.89 124.23
0.30 -103.57 -63.43 -95.36 0.11 199.98 124.36
0.30 -103.57 -63.23 -95.23 0.25 200.06 124.49
0.31 -103.57 -63.03 -95.11 0.39 200.15 124.62
0.31 -103.57 -62.83 -94.98 0.53 200.23 124.75
0.31 -103.57 -62.63 -94.86 0.67 200.32 124.88
0.31 -103.57 -62.42 -94.73 0.82 200.41 125.01
0.31 -103.57 -62.22 -94.61 0.96 200.49 125.14
0.31 -103.57 -62.02 -94.48 1.10 200.58 125.27
0.31 -103.57 -61.82 -94.36 1.25 200.66 125.40
0.31 -103.57 -61.62 -94.23 1.39 200.75 125.54
0.31 -103.57 -61.42 -94.11 1.53 200.83 125.67
0.31 -103.56 -61.22 -93.98 1.68 200.92 125.80
0.32 -103.56 -61.02 -93.86 1.82 201.00 125.93
0.32 -103.56 -60.82 -93.73 1.97 201.09 126.06
0.32 -103.56 -60.62 -93.60 2.11 201.17 126.19
0.32 -103.56 -60.42 -93.48 2.26 201.26 126.33
0.32 -103.55 -60.22 -93.35 2.40 201.34 126.46
0.32 -103.55 -60.01 -93.22 2.55 201.43 126.59
0.32 -103.55 -59.81 -93.10 2.70 201.51 126.73
0.32 -103.55 -59.61 -92.97 2.84 201.60 126.86
0.32 -103.54 -59.41 -92.84 2.99 201.68 126.99
0.32 -103.54 -59.21 -92.72 3.14 201.77 127.13
0.33 -103.54 -59.01 -92.59 3.29 201.85 127.26
0.33 -103.53 -58.80 -92.46 3.44 201.94 127.39
0.33 -103.53 -58.60 -92.33 3.59 202.02 127.53
0.33 -103.53 -58.40 -92.21 3.74 202.11 127.66
0.33 -103.52 -58.20 -92.08 3.89 202.19 127.79
0.33 -103.52 -58.00 -91.95 4.04 202.28 127.93
0.33 -103.51 -57.79 -91.82 4.19 202.36 128.06
0.33 -103.51 -57.59 -91.70 4.34 202.45 128.20
0.33 -103.51 -57.39 -91.57 4.49 202.53 128.33
0.33 -103.50 -57.19 -91.44 4.64 202.61 128.47
0.34 -103.50 -56.98 -91.31 4.79 202.70 128.60
0.34 -103.49 -56.78 -91.18 4.95 202.78 128.74
0.34 -103.49 -56.58 -91.05 5.10 202.87 128.87
0.34 -103.48 -56.37 -90.92 5.25 202.95 129.01
0.34 -103.48 -56.17 -90.79 5.41 203.03 129.15
0.34 -103.47 -55.97 -90.67 5.56 203.12 129.28
0.34 -103.46 -55.77 -90.54 5.72 203.20 129.42
0.34 -103.46 -55.56 -90.41 5.87 203.28 129.56
0.34 -103.45 -55.36 -90.28 6.03 203.37 129.69
0.34 -103.45 -55.16 -90.15 6.18 203.45 129.83
0.35 -103.44 -54.95 -90.02 6.34 203.53 129.97
0.35 -103.43 -54.75 -89.89 6.50 203.62 130.10
0.35 -103.43 -54.54 -89.76 6.65 203.70 130.24
0.35 -103.42 -54.34 -89.63 6.81 203.78 130.38
0.35 -103.41 -54.14 -89.50 6.97 203.87 130.51
0.35 -103.41 -53.93 -89.37 7.13 203.95 130.65
0.35 -103.40 -53.73 -89.24 7.29 204.03 130.79
0.35 -103.39 -53.52 -89.10 7.45 204.11 130.93
0.35 -103.38 -53.32 -88.97 7.61 204.20 131.07
0.35 -103.38 -53.12 -88.84 7.77 204.28 131.21
0.36 -103.37 -52.91 -88.71 7.93 204.36 131.34
0.36 -103.36 -52.71 -88.58 8.09 204.44 131.48
0.36 -103.35 -52.50 -88.45 8.25 204.53 131.62
0.36 -103.34 -52.30 -88.32 8.41 204.61 131.76
0.36 -103.34 -52.09 -88.18 8.57 204.69 131.90
0.36 -103.33 -51.89 -88.05 8.73 204.77 132.04
0.36 -103.32 -51.68 -87.92 8.90 204.85 132.18
0.36 -103.31 -51.48 -87.79 9.06 204.93 132.32
0.36 -103.30 -51.27 -87.66 9.22 205.02 132.46
0.36 -103.29 -51.07 -87.52 9.39 205.10 132.60
0.37 -103.28 -50.86 -87.39 9.55 205.18 132.74
0.37 -103.27 -50.66 -87.26 9.72 205.26 132.88
0.37 -103.26 -50.45 -87.12 9.88 205.34 133.02
0.37 -103.25 -50.25 -86.99 10.05 205.42 133.16
0.37 -103.24 -50.04 -86.86 10.22 205.50 133.30
0.37 -103.23 -49.84 -86.73 10.38 205.58 133.44
0.37 -103.22 -49.63 -86.59 10.55 205.66 133.59
0.37 -103.21 -49.43 -86.46 10.72 205.74 133.73
0.37 -103.20 -49.22 -86.32 10.89 205.82 133.87
0.37 -103.19 -49.01 -86.19 11.06 205.91 134.01
0.38 -103.18 -48.81 -86.06 11.23 205.99 134.15
0.38 -103.17 -48.60 -85.92 11.40 206.07 134.29
0.38 -103.16 -48.40 -85.79 11.57 206.15 134.44
0.38 -103.14 -48.19 -85.65 11.74 206.23 134.58
0.38 -103.13 -47.98 -85.52 11.91 206.30 134.72
0.38 -103.12 -47.78 -85.38 12.08 206.38 134.87
0.38 -103.11 -47.57 -85.25 12.25 206.46 135.01
0.38 -103.10 -47.36 -85.11 12.42 206.54 135.15
0.38 -103.08 -47.16 -84.98 12.59 206.62 135.30
0.38 -103.07 -46.95 -84.84 12.77 206.70 135.44
0.39 -103.06 -46.74 -84.71 12.94 206.78 135.58
0.39 -103.04 -46.54 -84.57 13.12 206.86 135.73
0.39 -103.03 -46.33 -84.44 13.29 206.94 135.87
0.39 -103.02 -46.12 -84.30 13.47 207.02 136.01
0.39 -103.00 -45.92 -84.16 13.64 207.09 136.16
0.39 -102.99 -45.71 -84.03 13.82 207.17 136.30
0.39 -102.98 -45.50 -83.89 13.99 207.25 136.45
0.39 -102.96 -45.30 -83.75 14.17 207.33 136.59
0.39 -102.95 -45.09 -83.62 14.35 207.41 136.74
0.39 -102.93 -44.88 -83.48 14.53 207.48 136.88
0.40 -102.92 -44.67 -83.34 14.70 207.56 137.03
0.40 -102.90 -44.47 -83.21 14.88 207.64 137.17
0.40 -102.89 -44.26 -83.07 15.06 207.72 137.32
0.40 -102.87 -44.05 -82.93 15.24 207.79 137.47
0.40 -102.86 -43.84 -82.80 15.42 207.87 137.61
0.40 -102.84 -43.63 -82.66 15.60 207.95 137.76
0.40 -102.83 -43.43 -82.52 15.78 208.02 137.91
0.40 -102.81 -43.22 -82.38 15.97 208.10 138.05
0.40 -102.80 -43.01 -82.24 16.15 208.18 138.20
0.40 -102.78 -42.80 -82.11 16.33 208.25 138.35
0.41 -102.76 -42.59 -81.97 16.51 208.33 138.49
0.41 -102.75 -42.39 -81.83 16.70 208.41 138.64
0.41 -102.73 -42.18 -81.69 16.88 208.48 138.79
0.41 -102.71 -41.97 -81.55 17.07 208.56 138.94
0.41 -102.70 -41.76 -81.41 17.25 208.63 139.08
0.41 -102.68 -41.55 -81.27 17.44 208.71 139.23
0.41 -102.66 -41.34 -81.13 17.62 208.78 139.38
0.41 -102.64 -41.13 -80.99 17.81 208.86 139.53
0.41 -102.62 -40.92 -80.85 18.00 208.93 139.68
0.41 -102.61 -40.72 -80.71 18.18 209.01 139.82
0.42 -102.59 -40.51 -80.57 18.37 209.08 139.97
0.42 -102.57 -40.30 -80.43 18.56 209.16 140.12
0.42 -102.55 -40.09 -80.29 18.75 209.23 140.27
0.42 -102.53 -39.88 -80.15 18.94 209.30 140.42
0.42 -102.51 -39.67 -80.01 19.13 209.38 140.57
0.42 -102.49 -39.46 -79.87 19.32 209.45 140.72
0.42 -102.47 -39.25 -79.73 19.51 209.52 140.87
0.42 -102.46 -39.04 -79.59 19.70 209.60 141.02
0.42 -102.44 -38.83 -79.45 19.89 209.67 141.17
0.42 -102.42 -38.62 -79.31 20.09 209.74 141.32
0.43 -102.40 -38.41 -79.17 20.28 209.82 141.47
0.43 -102.37 -38.20 -79.03 20.47 209.89 141.62
0.43 -102.35 -37.99 -78.88 20.67 209.96 141.77
0.43 -102.33 -37.78 -78.74 20.86 210.03 141.92
0.43 -102.31 -37.57 -78.60 21.06 210.11 142.07
0.43 -102.29 -37.36 -78.46 21.25 210.18 142.23
0.43 -102.27 -37.15 -78.32 21.45 210.25 142.38
0.43 -102.25 -36.94 -78.17 21.65 210.32 142.53
0.43 -102.23 -36.73 -78.03 21.84 210.39 142.68
0.43 -102.20 -36.52 -77.89 22.04 210.46 142.83
0.44 -102.18 -36.31 -77.75 22.24 210.53 142.98
0.44 -102.16 -36.10 -77.60 22.44 210.60 143.14
0.44 -102.14 -35.89 -77.46 22.64 210.67 143.29
0.44 -102.12 -35.68 -77.32 22.84 210.74 143.44
0.44 -102.09 -35.47 -77.17 23.04 210.81 143.59
0.44 -102.07 -35.26 -77.03 23.24 210.88 143.75
